Group Name,F1 score,Accuracy,AUC
APC,0.8,0.87,0.83
Antigen,0.824071495610391,0.895615460909105,0.869165200493704
Peptide,0.803064157044406,0.892739151775282,0.859597693499473
ImmuneAI,0.817128255051884,0.908174374489348,0.85175329933475
WillSmith,0.478382693905891,0.726226644688054,0.739365650548132
ChrisRock,0.669770944999559,0.864895977357856,0.700422617794187
